,winner,num-of-moves,x-mean-decision-time,x-classic-bombs,x-vertical-bombs,x-horizontal-bombs,o-mean-decision-time,o-classic-bombs,o-vertical-bombs,o-horizontal-bombs
42,O,17,0.1325250469999979,0,0,0,0.13790875475000064,1,0,0
43,O,20,0.0926073574210546,0,0,0,0.06337777489473165,0,0,0
44,O,17,0.11838740293749694,0,0,0,0.1162083660000004,0,0,1
45,O,20,0.1053782296842066,0,0,0,0.06743467568421124,0,0,0
46,O,18,0.11329986894117931,0,0,0,0.10955408358823521,0,0,1
47,O,18,0.11872902558823573,0,0,0,0.11518927952941152,0,0,1
48,X,16,0.10631671675000298,1,0,1,0.09198331679999873,0,0,0
49,O,17,0.12011410762500141,0,0,1,0.12772822824999785,0,0,1
50,O,17,0.12044095331250126,1,0,0,0.12213558562499927,0,1,0
51,O,17,0.12798819500000036,1,0,0,0.14043737425000025,0,1,0
52,O,13,0.2640705775833349,0,0,0,0.2363309634999998,0,0,0
53,O,17,0.12156693312500266,0,0,1,0.1161578404375021,0,0,0
54,O,17,0.1216539867499975,0,1,0,0.126089924375,0,1,0
55,O,18,0.10197751641176049,1,0,0,0.10343026958823784,0,1,0
56,X,18,0.08786714005555989,0,1,1,0.07604545588235698,0,0,0
57,O,17,0.10789397431250158,0,1,0,0.10931365981249463,0,0,1
58,O,19,0.11465815527777402,0,0,0,0.11952301522222165,0,2,0
59,X,17,0.09513088635294346,0,0,2,0.08104942112499991,0,0,0
60,O,17,0.10802810981250488,0,0,1,0.10938896637500051,1,0,0
61,X,18,0.08724243127777401,0,1,1,0.07648978317647327,0,0,0
62,X,20,0.1217549439999999,0,0,0,0.08635744231578787,0,0,1
63,X,17,0.09465781688235143,0,0,1,0.08065913768749944,0,0,0
64,O,19,0.11696062533334049,0,0,0,0.11659040277777895,0,0,1
65,X,17,0.10382787799999746,1,0,1,0.09121988968749761,0,0,0
66,O,17,0.12336141437500281,0,0,0,0.128814071187497,1,0,0
67,X,18,0.12693465450000158,0,0,1,0.09248763847058934,0,0,0
68,X,15,0.3213064314666705,0,0,0,0.3354100767857103,0,1,1
69,X,18,0.09515339383333948,0,0,2,0.0838315882352945,0,0,0
70,X,17,0.09809045505881935,1,0,1,0.08957541699999538,0,0,0
71,O,17,0.115010368250001,0,0,0,0.11674241599999569,1,0,0
72,X,16,0.11536380093750509,0,0,1,0.09313278440000658,0,0,0
73,O,17,0.116479042874996,0,0,1,0.11842318599999757,1,0,0
74,X,17,0.09018438758823777,0,0,1,0.07229514956249972,0,0,0
75,O,17,0.10200671131250161,0,1,0,0.11372058356249681,0,1,0
76,O,18,0.106443501941181,0,0,0,0.10404048982353314,0,2,0
77,X,17,0.08270132294117782,0,1,1,0.07097563462500034,0,0,0
78,O,18,0.10365050847058696,0,0,0,0.0969380635294014,0,1,1
79,X,17,0.08175768811765786,0,1,1,0.07026229656250038,0,0,0
80,X,17,0.0898577611764809,1,0,1,0.0777882348124983,0,0,0
81,O,17,0.09680442437500147,0,0,0,0.09800551493749765,1,0,0
82,X,18,0.08581551488889103,1,0,1,0.07377782700000486,0,0,0
83,O,18,0.10652546823530094,0,0,0,0.11529409799999592,0,2,0
84,X,17,0.09834434129411687,0,1,1,0.07881967318750327,0,0,0
85,O,17,0.09917754643750243,1,0,0,0.10347184606249371,0,0,1
